class,sms,stemmed_sms,len
ham,I asked you to call him now ok,ask call ok,30
ham,Kallis wont bat in 2nd innings.,kalli wont bat inning,31
ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,didnt work oh ok goodnight fix readi time wake dearli miss good night sleep,146
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,congratul ur award cd voucher guarante free entri wkli draw txt music tnc,150
ham,Ranjith cal drpd Deeraj and deepak 5min hold,ranjith cal drpd deeraj deepak hold,44
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",wen ur lovabl bcum angri wid dnt take coz angri childish true way show deep affect care luv kettoda manda nice day da,179
ham,What you doing?how are you?,,27
ham,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",up also ship compani take way usp take week get lag may bribe nipost get stuff,179
ham,"I'm back, lemme know when you're ready",back lem know readi,38
ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out,necessarili expect done get back though headin,97
ham,Mmm so yummy babe ... Nice jolt to the suzy,mmm yummi babe nice jolt suzi,43
ham,Where are you lover ? I need you ...,lover need,36
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,tri contact repli offer video handset anytim network min unlimit text camcord repli call,154
ham,I‰Û÷m parked next to a MINI!!!! When are you coming in today do you think?,park next mini come today think,74
ham,Yup,yup,3
ham,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,anyway go shop co si done yet dun disturb liao,85
ham,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,luton ring ur around,51
spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,hey realli horni want chat see nake text hot text charg unsubscrib text stop,121
ham,Why you Dint come with us.,dint come us,26
ham,Same. Wana plan a trip sometme then,wana plan trip sometm,35
ham,"Not sure yet, still trying to get a hold of him",sure yet still tri get hold,47
spam,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,ur rington servic chang free credit go choos content stop txt club stop po,159
ham,The evo. I just had to download flash. Jealous?,evo download flash jealou,47
spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,rington club get uk singl chart mobil week choos top qualiti rington messag free charg,133
ham,"Come to mu, we're sorting out our narcotics situation",come mu sort narcot situat,53
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay,147
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,hmv bonu special pound genuin hmv voucher answer easi question play send hmv info,155
ham,"Usf I guess, might as well take 1 car",usf guess might well take car,37
ham,No objection. My bf not coming.,object bf come,31
ham,Thanx...,thanx,8
ham,Tell rob to mack his gf in the theater,tell rob mack gf theater,38
ham,"Awesome, I'll see you in a bit",awesom see bit,30
ham,Just sent it. So what type of food do you like?,sent type food like,47
ham,All done? All handed in? Celebrations in full swing yet?,done hand celebr full swing yet,56
ham,You got called a tool?,got call tool,22
ham,"\Wen u miss someone the person is definitely special for u..... But if the person is so special why to miss them just Keep-in-touch\"" gdeve..""",miss someon person definit special person special miss,142
ham,Ok. I asked for money how far,ask money far,29
ham,Okie...,oki,7
ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",yeah think usual guy still pass last night get ahold anybodi let know throw,121
ham,"K, I might come by tonight then if my class lets out early",might come tonight class let earli,58
ham,Ok..,,4
ham,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,hi babi im cruisin girl friend give call hour home that alright fone fone love jenni xxx,148
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",life mean lot love life love peopl life world call friend call world ge,160
ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",dear shall mail street shall updat look edukkukaye raksha good one real sens,152
ham,Hey you told your name to gautham ah?,hey told name gautham ah,37
ham,Haf u found him? I feel so stupid da v cam was working.,haf found feel stupid da cam work,55
ham,Oops. 4 got that bit.,oop got bit,21
ham,Are you this much buzy,much buzi,22
ham,I accidentally deleted the message. Resend please.,accident delet messag resend pleas,50
spam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,custom may claim free camera phone upgrad pay go sim card loyalti call end appli,159
ham,Unless it's a situation where YOU GO GURL would be more appropriate,unless situat go gurl would appropri,67
ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,hurt teas make cri end life die plz keep one rose grave say stupid miss nice day bslvyl,153
ham,I cant pick the phone right now. Pls send a message,cant pick phone right pl send messag,51
ham,Need a coffee run tomo?Can't believe it's that time of week already,need coffe run tomo ca believ time week alreadi,67
ham,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",awesom rememb last time got somebodi high first time diesel,88
ham,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",shit realli shock scari cant imagin second def night think somewher could crash night save taxi,157
ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight?,oh way food fridg want go meal tonight,90
ham,He is a womdarfull actor,womdarful actor,24
spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",sm ac blind date aberdeen unit kingdom check http sm blind date send hide,146
ham,Yup... From what i remb... I think should be can book...,yup remb think book,56
ham,Jos ask if u wana meet up?,jo ask wana meet,26
ham,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,lol ye friendship hang thread caus wo buy stuff,71
spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",themob check newest select content game tone gossip babe sport keep mobil fit funki text wap,138
ham,Where are the garage keys? They aren't on the bookshelf,garag key bookshelf,55
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,today accept accept brother sister lover lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi,156
spam,"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",think ur smart win week weekli quiz text play cs winnersclub po box,134
ham,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,say give call friend got money definit buy end week,119
ham,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",hi way normal way real ur uniqu hope know rest mylif hope find wot lost,142
ham,You made my day. Do have a great day too.,made day great day,41
ham,K.k:)advance happy pongal.,advanc happi pongal,26
ham,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",hmmm guess go kb power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,119
ham,"Not really dude, have no friends i'm afraid :(",realli dude friend afraid,46
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,decemb mobil entitl updat latest colour camera mobil free call mobil updat co free,157
ham,"Coffee cake, i guess...",coffe cake guess,23
ham,"Merry Christmas to you too babe, i love ya *kisses*",merri christma babe love ya,51
ham,Hey... Why dont we just go watch x men and have lunch... Haha,hey dont go watch men lunch haha,61
ham,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,cud tell ppl im gona bit co buse hav gon past co full im still waitin pete,107
ham,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,would great guild could meet bristol road somewher get touch weekend plan take flight good week,157
ham,No problem. How are you doing?,problem,30
ham,No calls..messages..missed calls,call,32
ham,Hi da:)how is the todays class?,hi da today class,31
ham,"I'd say that's a good sign but, well, you know my track record at reading women",say good sign well know track record read women,79
